text,label
"It's OK but it's not for me. I'm a student and cannot pay for an upgrade in the app. The free options are a bit limited so I, had to delete this app. Hope you enjoy it thoðŸ˜Š Edit: Thank you for replying. I will make sure to give it another try and re-rate it depending on my second experience :) 2nd edit: it's very helpful. It does what it's created for: planning and keeping your life organized. And with reminders for us forgetful people . BravoðŸ˜ I still feel like its missing something...",Safe
"A God sent, can't recommend this app enough! It works with all your apps including outlook and makes it super easy to keep up with what you have to do. Especially useful during corona: 10/10. -Chaotic finance student",Safe
"This app is amazing, changed my life. I'm doing 3x tasks daily since I installed the app, I can't be lazy. The pro version is expesive for a student in my country.",Safe
"A God sent, can't recommend this app enough! It works with all your apps including outlook and makes it super easy to keep up with what you have to do. Especially useful during corona: 10/10. -Chaotic finance student",Safe
"I previously gave 5 stars. New feature forces 1 star. ""When you view a project, you'll no longer see all the tasks in its sub-projects."" is TERRIBLE. please allow it as an option or revert! I set up all my stores (Costco, Walmart, etc.) now there is NO WAY TO LOOK AT MY ENTIRE SHOPING LIST!  I know I could drag sub tasks, but... 1. It's too easy to complete the parent task thus completing all child tasks. Not good...  2. Moving tasks from one parent task to another is also very dif",not-safe
"I was keeping track of Christmas gifts by checking then off once they were purchased and looking back by selecting, ""show completed tasks"". Until today when I went to check and they are all deleted. Kind of a bummer. It was convenient that the purchased gifts were hidden and nobody could snoop on my phone unless they knew to select that option. But now I have to go through my hidden gift stash. Which if you are a parent... you know how immpossible that can be with kids around all the time.",not-safe
Lost half its use once they got rid of seeing children categories in the widget. I use ToDoist for homework assignments and I used the parent functions for assignments to categorize what class the assignment is for. Without being able to see all my parent/sub folders from the widget it kills most of the use of the app. I went back to an old APK but then I started getting prompts that the app would stop working if I didn't update. I still use it as a grocery list with IFTTT until Keep is fixed.,not-safe
A great way to keep track of honey do lists. We just had our first child and both my wife and I are mentally exhausted so it is easy to let things slip through the cracks. The shared project is great for us to communicate even if we are on different sleep schedules. I just wish there was a way to pin the current project to be the first thing that opens up instead of the daily view of the current day. Would definitely recommend.,Safe
"Very useful and handy. The simplicity of managing tasks pops this app out of hundreds. I'm enjoying using it and wheater you're a student or a very busy working-at-aoffice person, I highly recomend it. You won't regret.",Safe
Perfect! It'll help me keep organised during my online classes (GCSE student),Safe
I don't know how you managed such rating but it is totally useless app compared to todoist. You offered only 9 lists ? Are you joking ? This list is insufficient even to a kid. Switching to todoist again. UI is good but limitation is like hell and users must have to pay. One suggestion: Offer more lists and tasks in free version.,not-safe
"Are you kidding me. I down load a ""Planner/Callander app. I go set it all up and link it and try to see the month so I know it's all right my It says I have to upgrade and pay for a month calender View. Ok... Annoying but I try 1 week. Same thing. Gotta pay. Calandar app with only 2 views for oveall use. Please don't say it's a free app or at least explain, can see all these cool features, I'll even let you go through and set up but you have to pay for all the feature",not-safe
I don't know how you managed such rating but it is totally useless app compared to todoist. You offered only 9 lists ? Are you joking ? This list is insufficient even to a kid. Switching to todoist again. UI is good but limitation is like hell and users must have to pay. One suggestion: Offer more lists and tasks in free version.,not-safe
Limit of 9 lists total. Are you kidding?,not-safe
"This app is sooo good for and perfect for students! ðŸŽ“ Add tasks at âš¡lightning speed and track your pomodoro sessionsðŸ…, habits â™»ï¸ and tasks ðŸ“¥ without problems!",not-safe
"Nice up. The only problem is price. Prices are the same to first world and third world. They don't have option to poor countries only for the rich ones. They don't have even option to students. The product is good, but there's no equality. Sad.",not-safe
"Nice up. The only problem is price. Prices are the same to first world and third world. They don't have option to poor countries only for the rich ones. They don't have even option to students. The product is good, but there's no equality. Sad.",not-safe
"This app is sooo good for and perfect for students! ðŸŽ“ Add tasks at âš¡lightning speed and track your pomodoro sessionsðŸ…, habits â™»ï¸ and tasks ðŸ“¥ without problems!",not-safe
I really like this app and it would be perfect if there was a lifetime premium version. I'm a student and it's a bit much for me to pay yearly for the next 6 years. :( I still have another great app for organising but that one sadly lacks a desktop version,Safe
"the reason I chose this app but not the others is because of the way the reminder works , I considered the upgrade but it's expensive for me as a student and no one time payment, hope there'll be student discount",Safe
I really like this app and it would be perfect if there was a lifetime premium version. I'm a student and it's a bit much for me to pay yearly for the next 6 years. :( I still have another great app for organising but that one sadly lacks a desktop version,Safe
"Would rate it 10 stars if I could! I have ADHD and I'm a student and this app is really good for homework and school planning, as well as making sure I stay focused on my school assignments with the pomo timer. I love that you can make things daily or customize how many times to be reminded of something!",Safe
"Would rate it 10 stars if I could! I have ADHD and I'm a student and this app is really good for homework and school planning, as well as making sure I stay focused on my school assignments with the pomo timer. I love that you can make things daily or customize how many times to be reminded of something!",Safe
"Well... this is the very first review for any app... n actually TickTick deserves it!! It is not only best for students but also for working people. Its features are AMAZING! As a student i tried many apps for focus, studies n timetable etc in a single app but no other apps give u the features what this app has!! N I m glad I came across such an amazing app, it has Reminders, to do list, pomodoro, tags for everything n many moreðŸ˜„ I would like to thank the creators to make such an amazing appâ¤â¤",Safe
"Are you kidding? All the cool character customization items (which are very limited in the first place) cost real money. I thought the purpose of the app was to help people by motivating them with rewards, but there's absolutely nothing interesting you can buy for your character with the regular currency. What is the point then? Ridicilous. Put ads in it if anything, but not lock the very few items you have available behind a currency that costs real money.",not-safe
I AM SPECIFICALLY LOOKING FOR A GAMIFIED PRODUCTIVITY APP. MY REVIEW OF YOURS WHICH IS VERY LACKING: Dark theme is missing! This one appears to be for 5 year olds! Can you make a NON-CHILD app similar to this but for REGULAR PEOPLE not 5 year old RPG gamers? I avoided yours for a long time but still nothing exists yet for adults. I hate RPG (cause I'm not an anti-social loser) but want to gamify my productivity with public leaderboards in an app. Thanks. Looks well made but I don't want it.,not-safe
"Are you kidding? All the cool character customization items (which are very limited in the first place) cost real money. I thought the purpose of the app was to help people by motivating them with rewards, but there's absolutely nothing interesting you can buy for your character with the regular currency. What is the point then? Ridicilous. Put ads in it if anything, but not lock the very few items you have available behind a currency that costs real money.",not-safe
"I love Habitica and I like the UI of the updated app, but I find it frustrating that the app doesn't show all the content that the website does. Normally this is just a small annoyance--but now, after paying for a Group plan for my family, I'm discovering that my kids can't access the group tasks list via the app! Which makes the entire thing a waste of money since the whole point was to be able to create tasks for family chores. Please tell me a fix is in the works!",not-safe
"I love Habitica and I like the UI of the updated app, but I find it frustrating that the app doesn't show all the content that the website does. Normally this is just a small annoyance--but now, after paying for a Group plan for my family, I'm discovering that my kids can't access the group tasks list via the app! Which makes the entire thing a waste of money since the whole point was to be able to create tasks for family chores. Please tell me a fix is in the works!",not-safe
This is such a great idea. I am a teacher and I was looking for ways to motivate my students. I didn't expect to love this for myself. My husband and I are working on household and self care goals and having fun. It's amazing!,Safe
"I noticed how obsessive I was about getting an achievement in some video game..Like a new gun, module etc. I would grind for ages... I thought what if I did this kind of work in real life? I would be so far ahead! So I thought to look for a Gamification app. Habiticia fit perfectly. I'm using the same ""obsessed"" attitude and all my thousands of hours of childhood ""training"" I have to achieve in video games games for achieving my daily habits. Thank you, you saved me. Instant 1 year sub.",Safe
"Great app help helps me get stuff done compared to other so-called ""Adult"" "" serious, not childish"" app",Safe
This is such a great idea. I am a teacher and I was looking for ways to motivate my students. I didn't expect to love this for myself. My husband and I are working on household and self care goals and having fun. It's amazing!,Safe
"I've been using the forest app since 2017. Because of the new version update, the plants that I have bought on the old version from my collected coin can't be used now!!! Because these plants have been moved in the pro version section. This is not fair, it's really really difficult to collect all the coins on the old version forest app...... and now I want to use some of my plants for my pages, but I can't because I have to pay for the pro-version!!! Are u kidding me????",not-safe
"I used to love this app so much but after the update I just want to uninstall it. Before the update every tree can be traded with the coins, but after the update almost every tree is the pro version. I'm extremely dissapointed with the updates. (newer update) We don't want refunds, we want our trees back. So many coins but there is nothing you can do with it!!! As a student, I don't want to spend any money on apps since I'm still dependent. And I'm going to look for an alternative app now.",not-safe
"This app WAS good. It's really heartbroken to see how you destroy this amazing app. I'm studying, like most of the users. AND WE DON'T MAKE MONEY. Are you that blind, how can't you see that most of the users are students? You've lost thousands of users. ðŸ‘",not-safe
"I had downloaded this app after being impressed by the reviews and popularity, but am extremely disappointed. No variety for trees, seems like everything is just for pro users - and students like us can't pay! No tutorial to understand the app - had to look up on youtube! No clarity?! Terrible experience!! Won't recommend.",not-safe
Very bad app for 12 student,not-safe
"This app was really great at the beginning. I really like the idea of it. But it has been some time now that I have started to notice some issues: - It has become very slow. Like it is not THAT slow, but for an app that is meant to be used all day long almost every day - I'm a full time student ;) - it does feel a little slow. - It has difficulties updating the time you spend studying in the ""friends"" window. My friends and I always have to go into the settings to make it update the time. Now I do not know if this is because of some android interrupt restrictions, but it would be great if you guys can fix this, because it simply makes the app less trustworthy. - Can we plzzzzz have more trees?? At the beginning the trees were very interesting to buy and to plant. But now I notice that even though most of the trees are fictional, they still are a little boring. And there aren't that many of them to begin with.",not-safe
"It's a great app as always. BUT for those who wanna update it to the latest version, DON'T DO IT. The latest system don't allow us to buy other species without paying for premium. Unlocking different type of trees is what keep motivating us to focus on the priorities. Without premium, there left only few typical trees in the store. As a student who's still financially independent like many others, I try not to spend any coins or cash on any apps no matter the price. I wish u can change it back.",not-safe
I can't believe you guys locked all the good trees with premium. Students who are saving money can't spend it on apps. Purchasing new trees always gave me motivation boost.ðŸ‘Ž,not-safe
"This app was really great at the beginning. I really like the idea of it. But it has been some time now that I have started to notice some issues: - It has become very slow. Like it is not THAT slow, but for an app that is meant to be used all day long almost every day - I'm a full time student ;) - it does feel a little slow. - It has difficulties updating the time you spend studying in the ""friends"" window. My friends and I always have to go into the settings to make it update the time. Now I do not know if this is because of some android interrupt restrictions, but it would be great if you guys can fix this, because it simply makes the app less trustworthy. - Can we plzzzzz have more trees?? At the beginning the trees were very interesting to buy and to plant. But now I notice that even though most of the trees are fictional, they still are a little boring. And there aren't that many of them to begin with.",not-safe
I loved this app and have used it throughout uni but with the recent update all my trees are gone and i cant buy anymore because i dont have premium (something ill never buy as a student). Really disappointed in what was a great app.,not-safe
"I think that this app is honestly really fun!! and for an unmotivated student like me, this gives me more motivation to study but this app has limited rewards and it takes very long to get enough coins to buy new trees so the forest becomes boring after awhile. I recommend giving new trees as rewards after focusing for eg : 200 mins 3 days straight or something like that. this app also deleted my 2 hour study because I used my phone during the last 1 minute to check on texts from my teacher ðŸ˜­ðŸ˜¡",not-safe
Very nice app it is really good app for students who don't want to study in this app I found a timer when we give up the plant will death and we feel bad to see it very good app but do not pay any money to the app the app will digest it and sit quite do not pay the app I had paid from another mobile it is not showing but in another app I have not paid anything and it is good but only one song is played in background and it is good app,not-safe
After you change it to pro version I have no motivation to study because I dont have tree Iam a student and I can't buy pro version But I love your app very much before pro version Please return it to free version,not-safe
I loved this app and have used it throughout uni but with the recent update all my trees are gone and i cant buy anymore because i dont have premium (something ill never buy as a student). Really disappointed in what was a great app.,not-safe
Thats a good app for students,not-safe
After you change it to pro version I have no motivation to study because I dont have tree Iam a student and I can't buy pro version But I love your app very much before pro version Please return it to free version,not-safe
"Honestly, this app really helps students like me amidst this pandemic. The UI is user-friendly, the trees are cute and the mechanics are A-okay. I think there are still points that can be updated just like trees can have small animations, new forest landscapes and a bit of interaction with the forest. It may stray away from its purpose of focusing but the feeling of completion gives me satisfaction. Last is how free users access the types of trees. I'm sure that you don't want them to be lost.",Safe
Its a very useful app for students who want to focus ....it has helped me a lot in keepingy time track in everything... Thanks team..ðŸ¤—,Safe
Good for student,Safe
A very good app for student It help me to improve my marks it is very helpful ..,Safe
"this is the first ever app that im willing to unlock any pro version! firstly, aside from the functions of pro, the app has a great variety of functions which allows me to stay concentrated even my phone is just with me! moreover the pro version is even more user friendly and price-efficient, it doesnt create any burden even to a normal student cause it's an one-off with a low price!",Safe
"I used to be a study skills tutor, and I commonly recommended this to students who struggled to stay off their phones or needed a focus timer. Forest is visually appealing, motivating, and user friendly. Unlike many other apps of its type, it doesn't induce shame; someone can go back to their phone in an emergency, they just lose the tree. It also allows for easy time tracking, amd for students to play music/spotify throughout the period (so long as they don't adjust). Love this app!",Safe
"I ADORE this app. It's great for people (like me) who need some incentive to keep working! I'm a college kid, and every time I study, I log it on Forest. When I look over the app and see all of the trees, bushes, and flowers that I planted, it makes me really proud! It's definitely a sense of accomplishment. And the team that made this app are doing amazing things with reforestation! What's not to like??",Safe
This app is very useful for me as a student to focus and to get some work done. It costs like 1 or 2 dollars to unlock the full app. (When we waste so much money on other stuff i guess this isn't a much price to pay.) Anyways happiest thing is that I'm able to contribute to a real planting campaign through this app. I highly recommend this app. Very satisfied.,Safe
"Absolutely love this app. Just wish the trees were a little cheaper in coins so they were easier to get. At the moment it takes me a month to get a new one. But at least that means I have to stay committed! The app is so cute, would highly recommend to anyone, especially students. Been doing a lot more uni work since I got this!!",Safe
I decided to try this app for myself and for my kid. I have trouble both focusing and staying on task due to health reasons & autism and my kid has ADHD and autism This has helped a LOT. My kid started secondary school in Sept & was struggling to focus while doing homework. The app has helped tremendously and instead of it taking 2+ hours with constant reminders from me to focus it is down to less than an hour and I rarely have to remind them they're doing homework. Great app!,Safe
A very good app for children ðŸ‘ðŸ‘this is the app I need for my studies I have some time lot of disturbence near me so it is very useful,Safe
"It is a great app.Very productive for students who cant focus because of phone, but the only problem after update I lost my some trees which I had opened by giving coins and this app taking money to open trees and that's a ridiculous thing .some students cant afford the prizes of tree...pls make the trees free ,only take coins not money to open trees",Safe
Wonderful app for studentsðŸ¤—,Safe
It is a really nice app for concentration. I love it and use it everyday. Really helpful for students and love that the timer is customisable,Safe
OMG I REALLY LOVE THIS APP CUZ IT IS MAKE MY CHILD..... VERY GOOD!!!,Safe
A very good app for children ðŸ‘ðŸ‘this is the app I need for my studies I have some time lot of disturbence near me so it is very useful,Safe
"This is by far my favorite habit tracking app (and I've tried many). I like the weekly view. (I have an unusual use for this app.....I use it to track my kids' school work and I like the weekly view so I can see what they have completed during the week). However, I'm not sure if this app is still being supported? The last update was over a year ago and they do not respond to inquiries. But the app does still work well.",Safe
"Super cool if you're a dude and want one of the multitude of dude avatars. If you're a woman, I hope you want to be a nun, a woman holding an umbrella over a puppy, or part of a couple. Not even kidding. Definitely a guy created this app and had an all guy panel of betas.",not-safe
"Super cool if you're a dude and want one of the multitude of dude avatars. If you're a woman, I hope you want to be a nun, a woman holding an umbrella over a puppy, or part of a couple. Not even kidding. Definitely a guy created this app and had an all guy panel of betas.",not-safe
"Loving this app, and got my kids to use it too. Only reason it dose not get 5 stars is because I can't set a task for a certain weekday in a month, for example the last Wednesday of every month.",Safe
"A bit underrated. It's a fun way to get things done, kind of like having a video game character. It does take time to set up and some unnecessary options cost money, but it makes getting stuff done feel more rewarding. Good app for parents to set up for their kids as well so they are more motivated and enjoy getting chores, homework, etc, done. :-)",Safe
"Loving this app, and got my kids to use it too. Only reason it dose not get 5 stars is because I can't set a task for a certain weekday in a month, for example the last Wednesday of every month.",Safe
"A bit underrated. It's a fun way to get things done, kind of like having a video game character. It does take time to set up and some unnecessary options cost money, but it makes getting stuff done feel more rewarding. Good app for parents to set up for their kids as well so they are more motivated and enjoy getting chores, homework, etc, done. :-)",Safe
"I love using this app for myself to help me prioritize/organize my time for school, homework, and playing. One thing I would love to see in here is an option where you can have multiple characters so a parent can get the app on their phone and make a character for each child so that they can keep track of what their child has done and what rewards they can have, ex: playing games, extra dessert, screen time, etc.",Safe
Love the app but i have a question. I have a morning routine set up with subtasks. Is there a way to hide the subtasks from my daily task veiw and only have them show under the master task pulldown tab? Also i would love it if i could order my tasks customly without having to assign a time to them. This is by far the best app i have found for setting to do's for yourself. As an adult with adhd I love the fun childish functionality without it looking like a childs game on my phone.,Safe
I just started the app a few days ago and I really like it. I told my kids it would have been nice to have this when they were young. The fight for chores might have been a little less of a struggle.,Safe
Great app. I would love to buy it for lifetime but the price is too steep for a student in india. Hopefully like Netflix and Spotify etc have done with their prices for india. You can give us some price which will be affordable in our country.,Safe
I just started the app a few days ago and I really like it. I told my kids it would have been nice to have this when they were young. The fight for chores might have been a little less of a struggle.,Safe
"I love using this app for myself to help me prioritize/organize my time for school, homework, and playing. One thing I would love to see in here is an option where you can have multiple characters so a parent can get the app on their phone and make a character for each child so that they can keep track of what their child has done and what rewards they can have, ex: playing games, extra dessert, screen time, etc.",Safe
Great app. I would love to buy it for lifetime but the price is too steep for a student in india. Hopefully like Netflix and Spotify etc have done with their prices for india. You can give us some price which will be affordable in our country.,Safe
"Would've given five star if: we were given points for completing tasks and there was a daily goal feature. (It kind of motivates the students to reach their daily goals.) Well, I'm a student so this is from my point of view. This is what I think, as a student, should be in a to-do list app. Even something similar shall do the job. Currently uninstalling the app, but with a hope that the creators will consider my point and do the needful. Thank you.",not-safe
Hello... I am Samia.. I want the reminder to be a loud alarm.... Plzzzz.....if u do this before year 2021..... I'll give u 5 stars and also I'll recommend this app to my students....... This app is best for students and business man,not-safe
"I'm a student who is tryna get my life more organized and I'm a big microsoft fan so I was happy when i saw this app, im not sure if anyone else is having this problem but my app isnt posting my notifications unless im in the app, for eg: i set a reminder and that reminder on u goes off if im in the app and doesnt go off when im out of the app, no notifications appear when im outside the app. Im voting it a 3 because im not sure.",not-safe
Hello... I am Samia.. I want the reminder to be a loud alarm.... Plzzzz.....if u do this before year 2021..... I'll give u 5 stars and also I'll recommend this app to my students....... This app is best for students and business man,not-safe
"Would've given five star if: we were given points for completing tasks and there was a daily goal feature. (It kind of motivates the students to reach their daily goals.) Well, I'm a student so this is from my point of view. This is what I think, as a student, should be in a to-do list app. Even something similar shall do the job. Currently uninstalling the app, but with a hope that the creators will consider my point and do the needful. Thank you.",not-safe
"2 missing featues I'd love to have: * ability to have another date. The one existing is a due date. How about a ""plan date"" and when that date is today, it gets auto added to ""my day"". It will allow users to plan ahead. * the ""Group by"" should be everywhere, in important and my day especially. I can't think of a reason why it shouldn't be there. It will allow us to see what we have planned in each category/list. I'm a student / young professional, and believe me, these would be killer features.",Safe
For the students this app is very very important to boost their productivity and because of the amazing features of microsoft it is easier to manage our taskes effeciently.,Safe
"I never write reviews but I love this app! I have tried a couple to-do listapps before and never found them really helpful. As a law student I need to keep track of a bunch of things and this app makes wrangling assignments, meetings and tasks so simple. I like that in addition to having your daily tasks there is a list making feature. It's also just plain fun to use. You have the option to change the theme and you get the perfectly satisfying ding sound when you check off a task.",Safe
"This is just great. As a student, I never forget homework or due dates. Hats off to Microsoft for coming up with such an app! I just wish we could use custom images as themes for lists.",Safe
So far this app has all what I am looking for. It is easy to use and overall the app is great especially for students who wanted to organize their tasks. It has themes to choose from by changing its color and background if you wanted to change the interface and theme of your to do list.,Safe
"I hope that users, if they want to record those tasks that aren't added but already accomplished, can also add the exact date & time of its accomplishment/submission just so users (i.e. students, etc.) can keep track on what they've recently accomplished/submitted with, more importantly, the exact date & time. Teachers, for instance, sometimes get confuse upon checking submitted documents and would rather ask the students when it was submitted, especially if passed online for fast retrieval.",Safe
"As a student I have tried a lot of task reminder or to do list but honestly this is he best one hands down. It hits every thing that a student could need and it's so organized. If you are student you must try ths app regardless if you need it or not, you will not regret it. It is also very custimaizable. And even if you are not a stdent you must try this for eg: you are a person with a buisy schedule. And even if you are going to the groceries this is there for you",Safe
"I love this app. First review I have ever done. I'm a student and use this app to help plan my assignments, day and life ðŸ˜‚. It's very satisfying crossing things off your list. Definitely recommend.",Safe
"This is just great. As a student, I never forget homework or due dates. Hats off to Microsoft for coming up with such an app! I just wish we could use custom images as themes for lists.",Safe
"The idea is great, however it adds only event to my calendar. I like circle planer idea and that I simply can put work and then event at work and that it reflects on this circle. This has potential but make it simple and functional. I was used to test some apps and for me this was not functional and easy going. Make it that 7 years old kid can use it.",not-safe
include monthly to do list. which helps students to create timetable.,not-safe
include monthly to do list. which helps students to create timetable.,not-safe
I recommended this app to everyone because it's very useful app especially for students like me,Safe
"Nice visual to organize and follow schedule. I would like to add personal routines... exercise, time bonding with children...but this app does not promise this..",Safe
"Beneficial to get my goal. It's heplful to make discipline and commitments to yourself,it's continually popping up notification that what you have decided according to your time table, over all its Good and helpful for students..!!",not-safe
"This app is really good for people, especially students who are busy with their schedules.. However since the last update in Feb 2020. I can't make new schedule. The 'OK' or 'DONE' button was gone.",not-safe
"Beneficial to get my goal. It's heplful to make discipline and commitments to yourself,it's continually popping up notification that what you have decided according to your time table, over all its Good and helpful for students..!!",not-safe
"(1/2)Best for students preparing for Competitive.. But I hope There should be more option for different Uses not fixing to only one particular requirement. (2/2) Time Indicating one Showing how accurately we have completed our works..Assume if I Make an Alarm at 6 am and I woke up at 7 am that will be loss so, that should be Highlighted to Not waste the time for next day Further Improvement these type of Options will help us ..ðŸ”¥",Safe
Great app... Exactly what I wanted... But it needs frequent troubleshooting owing to some reason unknown to me! Also the programme facility needs subscription which is not economically viable for students like me...,Safe
"Really helpful app. I've looked at lots of other schedule apps, but this one is the easiest for me to customize precisely. Great for making routines! Since a few of my routines overlap, it would be amazing if there were an option to see routine titles in the widget timeline above or before the task, in order to keep an overview of which/whose routine is in effect. Both of my children have their own different weekly routines, so it would be nice to see on the timeline, that for example, it's kid#1 who has school on Monday mornings and kid#2 on Monday afternoon instead of two ""time for school"" tasks with no specifics. It would also be great if this app could be accessible from my computer desktop or if I could sync with other family members.",Safe
"I really like this app for my phone. My favorite part is the voice notification. It really helps with my kids homeschooling. I set the voice to tell them that its time for school and to sit at the table, then it plays a little song. I love this because now when they hear this they turnoff their morning cartoons, put their dishes in the sink, grab their notebooks then sit at the table. I love that I don't have to keep tell them to get to the table anymore. The only thing I would suggest is having the option to make my schedule on the computer too and be able to link the two devises. Like how google does with their calendar app. Other than that I really like this app.",Safe
"Great app to plan out your weekly schedule, especially for a college student. However I wish it would show the amount of time being spent on each activity on the widget. It shows it when you go into the app but that's less convenient and helpful if you want to do a quick check to see how much time you have for today's lunch break.",Safe
that's good for students ðŸ‘ðŸ»,Safe
Great app... Exactly what I wanted... But it needs frequent troubleshooting owing to some reason unknown to me! Also the programme facility needs subscription which is not economically viable for students like me...,Safe
"(1/2)Best for students preparing for Competitive.. But I hope There should be more option for different Uses not fixing to only one particular requirement. (2/2) Time Indicating one Showing how accurately we have completed our works..Assume if I Make an Alarm at 6 am and I woke up at 7 am that will be loss so, that should be Highlighted to Not waste the time for next day Further Improvement these type of Options will help us ..ðŸ”¥",Safe
"Really enjoyed this app, but was disappointed to find it doesn't automatically sync your schedule to your account. I had to reset my phone and was bummed to see the schedule, routines, and tags I worked on for days, tweaking it to fit my kid's days perfectly was gone. Not sure I will take the time to redo it although I really did like it. If you do use it, just make sure you back up your schedule!! Edit: Had to just suck it up and redo my schedule. This app is just too useful.",Safe
A best app for students.It has many cool features i must say.This app is actually helping me a lot to be more productive.,Safe
Its so amazing aap for student .I am also student and it so helpfull for following the timetable,Safe
"Excellent App!! I regret knowing this app sooo lateðŸ˜!! The best Thing was the 'Customisable Alarms/Notifications' ... As a student, im in love with this app! It help me stick to the timings... Also, the app didnt ask me to rate it! Instead i was findig where to Rate?? In Short : A great app!! Good going guysðŸ˜Š",Safe
A best app for students.It has many cool features i must say.This app is actually helping me a lot to be more productive.,Safe
"Really enjoyed this app, but was disappointed to find it doesn't automatically sync your schedule to your account. I had to reset my phone and was bummed to see the schedule, routines, and tags I worked on for days, tweaking it to fit my kid's days perfectly was gone. Not sure I will take the time to redo it although I really did like it. If you do use it, just make sure you back up your schedule!! Edit: Had to just suck it up and redo my schedule. This app is just too useful.",Safe
Its so amazing aap for student .I am also student and it so helpfull for following the timetable,Safe
